departamento,provincia,distrito,centro_poblado,categoria,codigo_de_ubigeo_y_centro_poblado,longitud,latitud,altitud,poblacion,vivienda,agua_por_red_publica,energia_electrica_en_la_vivienda,desague_por_red_publica,via_de_mayor_uso,transporte_de_mayor_uso,frecuencia,tiempo_en_minutos_hacia_la_capital_del_distrito,distancia_del_centro_poblado_hacia_la_capital_del_distritokm,distancia_del_centro_poblado_hacia_el_centro_poblado_educativo,distancia_del_centro_poblado_hacia_el_centro_de_salud_mas_cerca,alumbrado_publico,telefono_publico,local_comunal,hostal__albergue,estacion_de_radio,institucion_educativa_primaria,institucion_educativa_secundaria,establecimiento_puesto_de_salud,puesto_policial,oficina_de_correo,cabina_de_internet,heladas_nevadas,granizadas,lluvias,sequias,vendavales_vientos_fuertes,inundaciones,derrumbesdeslizamientos,huaycos__aludesaluviones,desertificaciones,salinizacion_de_los_suelos,actividad_volcanica,sismos,tsunami_u_oleadas_anomalos,otros_fenomenos_nat,derrame_de_sustancias_o_desechos_toxicos,fugas_de_gases_toxicos,explosiones,incendios_y_quemas,crianza_de_animales_en_zonas_urbanas,incremento_de_zonas_indus_no_autorizadas,zonas_aereoportuarias,rellenos_sanitarios,subversiones_yo_conflictos_sociales,otros_peligros,un_lecho_de_rio_o_quebrada,un_cuartel_militar_o_policial,una_via_ferrea,la_erosion_de_rios_en_laderas_de_cerros,barrancos_o_precipicios,otros,pistas_y_veredas_en_la_mayori_de_sus_calles_yo_manzanas,canales_de_drenaje_en_las_calles_para_la_evacuacion_de_las_agua,idioma_o_lengua_que_se_habla_con_mayor_frecuencia
AYACUCHO,LA MAR,ANCO,LECHEMAYO,anexo,0505020043,-73.5145605715,-13.0088668572,600.5,1500,200,no,si,si,carretera afirmada,omnibus,diario,180,132.8,0.01,0.1,si,si,si,si,no,si,si,si,no,no,no,no,si,si,no,si,si,si,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,LA MAR,AYNA,CONAYCA,,0505030043,-73.8671466667,-12.6983950000,1789.2,4,3,no,no,no,camino de herradura / trocha,a pie,,210,119,5.59,11.1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,no,no,

AYACUCHO,LA MAR,SANTA ROSA,CRUZ VERDE,,0505070043,-73.7887183333,-12.6862066667,1245.4,100,40,si,si,no,camino carrozable,camioneta,diario,70,20.2,1.3,3.63,no,no,si,no,no,no,no,no,no,no,no,no,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,LA MAR,TAMBO,QARHUAPAMPA,pueblo,0505080043,-74.0300252856,-12.9428758099,3362.7,400,200,si,si,si,camino carrozable,moto/mototaxi,diario,15,4.3,,11.25,si,si,si,no,no,si,si,si,no,no,no,si,si,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,quechua
AYACUCHO,LUCANAS,PUQUIO,ATUNHUACHANGAYOC,,0506010043,-74.1404078015,-14.6988315165,3246.1,1,2,no,no,no,camino de herradura / trocha,a pie,,160,2.9,0.85,2.46,no,no,no,no,no,no,no,no,no,no,no,si,si,si,no,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,
AYACUCHO,LUCANAS,CABANA,CHUYCUAPAMPA,,0506030043,-74.1218266667,-14.3832966667,4170.3,3,6,no,no,no,camino de herradura / trocha,a pie,,540,56.7,35.41,36.43,no,no,no,no,no,no,no,no,no,no,no,si,si,si,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,quechua
AYACUCHO,LUCANAS,CHAVIÑA,CHAUCCO,,0506050043,-73.8316766670,-15.0239666670,3197.6,0,2,,,,,,,0,16.3,1.92,8.14,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYACUCHO,LUCANAS,HUAC-HUAS,OTUTO,,0506070043,-74.9421500000,-14.1429650000,3160.1,9,6,no,no,no,camino carrozable,camioneta,diario,10,4.8,1.18,9.1,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,si,si,si,si,no,si,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,no,no,no,quechua
AYACUCHO,LUCANAS,LEONCIO PRADO,CCONCHA,,0506090043,-74.6889150000,-14.6422650000,2926.5,3,3,no,no,no,camino de herradura / trocha,camioneta,interdiario,190,196.5,2.47,2.86,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,quechua
